song_name,streams,featured_artists,genre,emotional_tone,energy_level
Blinding Lights,"4,073,653,677",0,1,8,9
Starboy (feat. Daft Punk),"3,044,911,454",1,3,7,8
The Hills,"2,179,000,687",0,2,3,7
Die For You,"2,068,676,322",0,2,2,5
Save Your Tears,"1,856,393,815",0,1,4,6
I Feel It Coming (feat. Daft Punk),"1,669,703,817",1,1,6,6
Can't Feel My Face,"1,668,148,130",0,1,5,8
Call Out My Name,"1,664,246,718",0,2,2,4
Earned It (Fifty Shades Of Grey),"1,586,891,503",0,2,3,5
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,"1,442,280,586",1,1,5,7
Creepin',"1,206,421,049",0,2,2,3
Often,"926,594,514",0,2,3,4
Reminder,"922,140,878",0,1,4,6
Heartless,"914,901,957",0,1,2,7
In Your Eyes,"905,582,542",0,1,6,6
I Was Never There (with Gesaffelstein),"901,302,412",1,4,2,4
Stargirl Interlude (feat. Lana Del Rey),"900,137,689",1,4,3,3
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix","891,510,152",2,2,2,3
Pray For Me (with Kendrick Lamar),"869,299,235",1,1,3,7
After Hours,"868,463,760",0,3,4,6
Love Me Harder (with The Weeknd),"865,372,529",1,1,6,5
Low Life (feat. The Weeknd),"832,448,772",1,5,2,8
Lost in the Fire (feat. The Weeknd),"823,599,582",1,2,3,7
Die For You (with Ariana Grande) - Remix,"793,894,277",1,2,2,5
You Right,"781,347,798",0,1,5,5
Moth To A Flame (with The Weeknd),"778,044,494",1,4,4,9
Party Monster,"751,469,062",0,1,3,8
One Right Now (with The Weeknd),"640,510,240",1,1,5,7
Popular (with Playboi Carti & Madonna),"596,160,494",2,1,7,8
Is There Someone Else?,"575,361,029",0,2,3,4
